player,matches,innings,balls_bowled,runs_conceded,wickets,best_bowling,average,economy,strike_rate,four_wkts,five_wkts
M Muralitharan (Asia/ICC/SL),350,341,18811,12326,534,Jul-30,23.08,3.93,35.2,15,10
Wasim Akram (PAK),356,351,18186,11812,502,May-15,23.52,3.89,36.2,17,6
Waqar Younis (PAK),262,258,12698,9919,416,Jul-36,23.84,4.68,30.5,14,13
WPUJC Vaas (Asia/SL),322,320,15775,11014,400,Aug-19,27.53,4.18,39.4,9,4
Shahid Afridi (Asia/ICC/PAK),398,372,17670,13632,395,07-Dec,34.51,4.62,44.7,4,9
SM Pollock (Afr/ICC/SA),303,297,15712,9631,393,Jun-35,24.5,3.67,39.9,12,5
GD McGrath (AUS/ICC),250,248,12970,8391,381,Jul-15,22.02,3.88,34,9,7
B Lee (AUS),221,217,11185,8877,380,May-22,23.36,4.76,29.4,14,9
SL Malinga (SL),226,220,10936,9760,338,Jun-38,28.87,5.35,32.3,11,8
A Kumble (Asia/INDIA),271,265,14496,10412,337,06-Dec,30.89,4.3,43,8,2
ST Jayasuriya (Asia/SL),445,368,14874,11871,323,Jun-29,36.75,4.78,46,8,4
J Srinath (INDIA),229,227,11935,8847,315,May-23,28.08,4.44,37.8,7,3
DL Vettori (ICC/NZ),295,277,14060,9674,305,05-Jul,31.71,4.12,46,8,2
SK Warne (AUS/ICC),194,191,10642,7541,293,May-33,25.73,4.25,36.3,12,1
AB Agarkar (INDIA),191,188,9484,8021,288,Jun-42,27.85,5.07,32.9,10,2
Saqlain Mushtaq (PAK),169,165,8770,6275,288,May-20,21.78,4.29,30.4,11,6
Z Khan (Asia/INDIA),200,197,10097,8301,282,May-42,29.43,4.93,35.8,7,1
JH Kallis (Afr/ICC/SA),328,283,10750,8680,273,May-30,31.79,4.84,39.3,2,2
AA Donald (SA),164,162,8561,5926,272,Jun-23,21.78,4.15,31.4,11,2
Abdul Razzaq (Asia/PAK),265,254,10941,8564,269,Jun-35,31.83,4.69,40.6,8,3
JM Anderson (ENG),194,191,9584,7861,269,May-23,29.22,4.92,35.6,11,2
Harbhajan Singh (Asia/INDIA),236,227,12479,8973,269,May-31,33.35,4.31,46.3,2,3
Mashrafe Mortaza (Asia/BDESH),217,217,10789,8759,266,Jun-26,32.92,4.87,40.5,7,1
M Ntini (ICC/SA),173,171,8687,6559,266,Jun-22,24.65,4.53,32.6,8,4
Shakib Al Hasan (BDESH),206,203,10517,7857,260,May-29,30.21,4.48,40.4,8,2
N Kapil Dev (INDIA),225,221,11202,6945,253,May-43,27.45,3.71,44.2,3,1
Shoaib Akhtar (Asia/ICC/PAK),163,162,7764,6169,247,Jun-16,24.97,4.76,31.4,6,4
KD Mills (NZ),170,169,8230,6485,240,May-25,27.02,4.72,34.2,8,1
MG Johnson (AUS),153,150,7489,6038,239,Jun-31,25.26,4.83,31.3,9,3
HH Streak (Afr/ZIM),189,185,9468,7129,239,May-32,29.82,4.51,39.6,7,1
D Gough (ENG/ICC),159,156,8470,6209,235,May-44,26.42,4.39,36,10,2
CA Walsh (WI),205,204,10822,6918,227,05-Jan,30.47,3.83,47.6,6,1
CEL Ambrose (WI),176,175,9353,5429,225,May-17,24.12,3.48,41.5,6,4
Abdur Razzak (BDESH),153,152,7965,6065,207,May-29,29.29,4.56,38.4,5,4
CZ Harris (NZ),250,232,10667,7613,203,May-42,37.5,4.28,52.5,2,1
CJ McDermott (AUS),138,138,7461,5018,203,May-44,24.71,4.03,36.7,4,1
CL Cairns (ICC/NZ),215,186,8168,6594,201,May-42,32.8,4.84,40.6,3,1
DJ Bravo (WI),164,150,6511,5874,199,Jun-43,29.51,5.41,32.7,6,1
KMDN Kulasekara (SL),184,181,8263,6751,199,May-22,33.92,4.9,41.5,4,1
BKV Prasad (INDIA),161,160,8129,6332,196,May-27,32.3,4.67,41.4,3,1
DW Steyn (Afr/SA),125,124,6256,5087,196,Jun-39,25.95,4.87,31.9,4,3
SR Waugh (AUS),325,207,8883,6761,195,Apr-33,34.67,4.56,45.5,3,0
CL Hooper (WI),227,203,9573,6958,193,Apr-34,36.05,4.36,49.6,3,0
L Klusener (SA),171,164,7336,5751,192,Jun-49,29.95,4.7,38.2,1,6
M Morkel (Afr/SA),117,114,5760,4761,188,May-21,25.32,4.95,30.6,7,2
CRD Fernando (Asia/SL),147,141,6507,5648,187,Jun-27,30.2,5.2,34.7,3,1
TG Southee (NZ),140,138,7021,6373,186,Jul-33,34.26,5.44,37.7,4,3
Saeed Ajmal (PAK),113,112,6000,4182,184,May-24,22.72,4.18,32.6,6,2
Aaqib Javed (PAK),163,159,8012,5721,182,Jul-37,31.43,4.28,44,2,4
Imran Khan (PAK),175,153,7461,4844,182,Jun-14,26.61,3.89,40.9,3,1
RA Jadeja (INDIA),159,155,8029,6552,181,May-36,36.19,4.89,44.3,7,1
Umar Gul (PAK),130,128,6064,5253,179,Jun-42,29.34,5.19,33.8,4,2
SCJ Broad (ENG),121,121,6109,5364,178,May-23,30.13,5.26,34.3,9,1
NW Bracken (AUS),116,116,5759,4240,174,May-47,24.36,4.41,33,5,2
Imran Tahir (SA),107,104,5541,4297,173,Jul-45,24.83,4.65,32,7,3
JDP Oram (NZ),160,154,6911,5047,173,May-26,29.17,4.38,39.9,3,2
IK Pathan (INDIA),120,118,5855,5142,173,May-27,29.72,5.26,33.8,5,2
MA Starc (AUS),85,85,4315,3611,172,Jun-28,20.99,5.02,25,11,7
NLTC Perera (SL),161,152,5711,5556,171,Jun-44,32.49,5.83,33.3,5,4
A Flintoff (ENG/ICC),141,119,5624,4121,169,May-19,24.38,4.39,33.2,6,2
SR Watson (AUS),190,163,6466,5342,168,Apr-36,31.79,4.95,38.4,3,0
CH Gayle (ICC/WI),301,199,7424,5926,167,May-46,35.48,4.78,44.4,3,1
TA Boult (NZ),89,89,4884,4111,164,Jul-34,25.06,5.05,29.7,7,5
Mushtaq Ahmed (PAK),144,142,7543,5361,161,May-36,33.29,4.26,46.8,3,1
Sir RJ Hadlee (NZ),115,112,6182,3407,158,May-25,21.56,3.3,39.1,1,5
Shoaib Malik (PAK),287,217,7958,6192,158,Apr-19,39.18,4.66,50.3,1,0
MD Marshall (WI),136,134,7175,4233,157,Apr-18,26.96,3.53,45.7,6,0
A Nehra (Asia/INDIA),120,120,5751,4981,157,Jun-23,31.72,5.19,36.6,5,2
M Prabhakar (INDIA),130,127,6360,4534,157,May-33,28.87,4.27,40.5,4,2
GB Hogg (AUS),123,113,5564,4188,156,May-32,26.84,4.51,35.6,3,2
SR Tendulkar (INDIA),463,270,8054,6850,154,May-32,44.48,5.1,52.2,4,2
BAW Mendis (SL),87,84,4154,3324,152,Jun-13,21.86,4.8,27.3,7,3
UDU Chandana (SL),147,136,6142,4818,151,May-61,31.9,4.7,40.6,4,1
R Ashwin (INDIA),111,109,6021,4937,150,Apr-25,32.91,4.91,40.1,1,0
SE Bond (NZ),82,80,4295,3070,147,Jun-19,20.88,4.28,29.2,7,4
J Garner (WI),98,98,5330,2752,146,May-31,18.84,3.09,36.5,2,3
IT Botham (ENG),116,115,6271,4139,145,Apr-31,28.54,3.96,43.2,3,0
TM Odoyo (Afr/KENYA),136,129,5649,4335,145,Apr-25,29.89,4.6,38.9,5,0
AU Rashid (ENG),99,93,4851,4547,143,May-27,31.79,5.62,33.9,7,2
JN Gillespie (AUS),97,96,5144,3611,142,May-22,25.42,4.21,36.2,3,3
MA Holding (WI),102,102,5473,3034,142,May-26,21.36,3.32,38.5,5,1
CR Woakes (ENG),99,95,4638,4327,142,Jun-45,30.47,5.59,32.6,9,3
EJ Chatfield (NZ),114,112,6065,3618,140,May-34,25.84,3.57,43.3,3,1
Mohammad Hafeez (PAK),218,177,7733,5400,139,Apr-41,38.84,4.18,55.6,1,0
HDPK Dharmasena (SL),141,134,7009,4998,138,Apr-37,36.21,4.27,50.7,1,0
SB Styris (NZ),188,161,6114,4839,137,Jun-25,35.32,4.74,44.6,4,1
Mohammed Shami (INDIA),73,72,3709,3400,136,May-69,25,5.5,27.2,8,1
MF Maharoof (SL),109,105,4640,3789,135,Jun-14,28.06,4.89,34.3,4,2
LE Plunkett (ENG),89,87,4137,4010,135,May-52,29.7,5.81,30.6,6,1
DW Fleming (AUS),88,88,4619,3402,134,May-36,25.38,4.41,34.4,4,1
JO Holder (WI),112,108,5179,4777,133,May-27,35.91,5.53,38.9,4,2
Rashid Khan (AFG),71,67,3558,2467,133,Jul-18,18.54,4.16,26.7,4,4
A Symonds (AUS),198,158,5935,4955,133,May-18,37.25,5,44.6,2,1
P Utseya (ZIM),164,160,8571,6239,133,May-36,46.9,4.36,64.4,2,1
Abdul Qadir (PAK),104,100,5100,3454,132,May-44,26.16,4.06,38.6,4,2
B Kumar (INDIA),114,113,5451,4568,132,May-42,34.6,5.02,41.2,4,1
M Dillon (WI),108,107,5480,4218,130,May-29,32.44,4.61,42.1,3,3
Mohammad Nabi (AFG),124,120,5919,4231,130,Apr-30,32.54,4.28,45.5,3,0
RJ Shastri (INDIA),150,136,6613,4650,129,May-15,36.04,4.21,51.2,2,1
JE Taylor (WI),90,88,4341,3780,128,May-48,29.53,5.22,33.9,3,1
DK Morrison (NZ),96,95,4586,3470,126,May-34,27.53,4.53,36.3,1,2
Rubel Hossain (BDESH),101,99,4540,4300,126,Jun-26,34.12,5.68,36,7,1
Mohammad Rafique (Asia/BDESH),125,124,6414,4739,125,May-47,37.91,4.43,51.3,3,1
KAJ Roach (WI),92,90,4459,3763,124,Jun-27,30.34,5.06,35.9,3,3
Azhar Mahmood (PAK),143,139,6242,4813,123,Jun-18,39.13,4.62,50.7,2,3
Mohammad Sami (PAK),87,85,4284,3567,121,05-Oct,29.47,4.99,35.4,3,1
AG Cremer (ZIM),96,95,4680,3597,119,Jun-46,30.22,4.61,39.3,4,3
IR Bishop (WI),84,83,4332,3127,118,May-25,26.5,4.33,36.7,7,2
IVA Richards (WI),187,131,5644,4228,118,Jun-41,35.83,4.49,47.8,1,2
K Rabada (SA),75,73,3842,3199,117,Jun-16,27.34,4.99,32.8,6,1
R Rampaul (WI),92,88,4033,3434,117,May-49,29.35,5.1,34.4,8,2
Dawlat Zadran (AFG),82,80,3769,3423,115,Apr-22,29.76,5.44,32.7,3,0
PAJ DeFreitas (ENG),103,103,5712,3775,115,Apr-35,32.82,3.96,49.6,1,0
AD Mathews (SL),214,155,5083,3907,115,Jun-20,33.97,4.61,44.2,1,1
I Sharma (INDIA),80,78,3733,3563,115,Apr-34,30.98,5.72,32.4,6,0
Wahab Riaz (PAK),89,88,4209,4011,115,May-46,34.87,5.71,36.6,4,1
WJ Cronje (SA),188,153,5357,3966,114,May-32,34.78,4.44,46.9,1,1
MC Snedden (NZ),93,90,4525,3237,114,Apr-34,28.39,4.29,39.6,1,0
GR Larsen (NZ),121,119,6368,4000,113,Apr-24,35.39,3.76,56.3,1,0
KJ O'Brien (IRE),142,113,4224,3672,113,Apr-13,32.49,5.21,37.3,5,0
PD Collingwood (ENG),197,151,5186,4294,111,Jun-31,38.68,4.96,46.7,3,1
Mudassar Nazar (PAK),122,104,4855,3432,111,May-28,30.91,4.24,43.7,1,1
Yuvraj Singh (Asia/INDIA),304,161,5048,4294,111,May-31,38.68,5.1,45.4,2,1
Junaid Khan (PAK),76,76,3601,3216,110,04-Dec,29.23,5.35,32.7,4,0
Naved-ul-Hasan (PAK),74,72,3466,3221,110,Jun-27,29.28,5.57,31.5,6,1
DR Tuffey (NZ),94,92,4333,3534,110,Apr-24,32.12,4.89,39.3,2,0
TT Bresnan (ENG),85,84,4221,3813,109,May-48,34.98,5.42,38.7,3,1
GP Wickramasinghe (SL),134,132,5720,4321,109,Apr-48,39.64,4.53,52.4,1,0
SP O'Donnell (AUS),87,87,4350,3102,108,May-13,28.72,4.27,40.2,5,1
DNT Zoysa (SL),95,93,4259,3213,108,May-26,29.75,4.52,39.4,2,1
RAS Lakmal (SL),85,83,3824,3478,107,Apr-13,32.5,5.45,35.7,3,0
Mustafizur Rahman (BDESH),56,55,2813,2458,107,Jun-43,22.97,5.24,26.2,3,5
PA de Silva (SL),308,156,5148,4177,106,Apr-30,39.4,4.86,48.5,2,0
TM Dilshan (SL),330,204,5880,4778,106,04-Apr,45.07,4.87,55.4,3,0
A Nel (SA),79,76,3801,2935,106,May-45,27.68,4.63,35.8,3,1
PR Reiffel (AUS),92,92,4732,3096,106,Apr-13,29.2,3.92,44.6,5,0
UT Yadav (INDIA),75,73,3558,3565,106,Apr-31,33.63,6.01,33.5,4,0
GW Flower (ZIM),221,156,5462,4225,104,Apr-32,40.62,4.64,52.5,2,0
WB Rankin (ENG/IRE),73,71,3600,2893,104,Apr-15,27.81,4.82,34.6,4,0
GP Swann (ENG),79,76,3809,2888,104,May-28,27.76,4.54,36.6,3,1
JJ Bumrah (INDIA),58,58,3009,2254,103,May-27,21.88,4.49,29.2,5,1
